"","runSize_years","runSize"
"1",1989,164516.3242729
"2",1990,151188.095511686
"3",1991,124381.71666157
"4",1992,154219.0306804
"5",1993,131527.4357606
"6",1994,172884.7321538
"7",1995,169788.8368072
"8",1996,182503.5289704
"9",1997,161700.2643439
"10",1998,88281.9636284
"11",1999,110446.4303385
"12",2000,52842.475049
"13",2001,85663.1545813
"14",2002,81486.99617302
"15",2003,149979.00365875
"16",2004,117247.195480579
"17",2005,123612.00004933
"18",2006,119484.995301
"19",2007,87899.2
"20",2008,62610
"21",2009,87221.00001
"22",2010,59740.96553
"23",2011,71726.000002
"24",2012,48493.747366
"25",2013,37176.935861474
"26",2014,64885.6956756
"27",2015,87322.973727
"28",2016,82765.489478326
"29",2017,93188.1299521
"30",2018,76356.34462143
"31",2019,72620.430429284
"32",2020,45500.815789919
"33",2021,32969.778277052
