"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","par","Year"
"hist_comb_fcst[1]",98281.9356550833,207.616949253668,13179.6095526767,75283.1245190423,89340.4037904487,97416.1224111925,106207.32708018,127224.952722056,4029.76275408583,1.00028273029589,"hist_comb_fcst[1]",2007
"hist_comb_fcst[2]",79253.5032284055,164.182147960814,10162.9329198473,61406.0299480796,72179.4870809851,78416.2974387362,85561.0784966649,101024.970295125,3831.65370512497,0.999663081480379,"hist_comb_fcst[2]",2008
"hist_comb_fcst[3]",72160.3156313401,167.121433790948,9594.68293215759,54642.4205245588,65565.0807650184,71656.9429091735,78195.3947302381,92465.275289309,3296.07396734599,1.00134443139077,"hist_comb_fcst[3]",2009
"hist_comb_fcst[4]",67141.7131647179,135.958598328589,8652.32927176078,51675.8307453977,61037.6732762612,66739.4532390366,72736.9416051429,85828.5220901568,4049.97852099116,1.00029809175425,"hist_comb_fcst[4]",2010
"hist_comb_fcst[5]",67678.8318419755,131.639400077105,8634.51881803246,52072.7987217496,61728.9394467869,67154.4440894669,73152.4226287283,86008.8293616997,4302.33765781588,0.999756975069567,"hist_comb_fcst[5]",2011
"hist_comb_fcst[6]",58746.4076511822,129.266902903396,7612.48448467607,45563.6107462714,53434.7331072641,58136.2162155347,63224.551843141,75206.892656339,3467.99253184086,1.00037681528236,"hist_comb_fcst[6]",2012
"hist_comb_fcst[7]",51295.2041775042,124.106089699402,6804.57306986104,39529.714661644,46554.0713446988,50678.7594679955,55533.6458050944,66247.744925606,3006.18414319214,1.00001974654017,"hist_comb_fcst[7]",2013
"hist_comb_fcst[8]",56191.6057778615,119.949181387464,7273.49152358306,43252.8872289324,51060.2700443821,55744.5671480075,60794.7595880426,71785.8480613831,3676.980251114,0.999983812248221,"hist_comb_fcst[8]",2014
"hist_comb_fcst[9]",68496.1007160543,146.618423168786,8906.64340448583,52353.3295522359,62481.7616271746,68055.7448207925,74148.8312493553,87011.1861671017,3690.20965327745,1.00243134456515,"hist_comb_fcst[9]",2015
"hist_comb_fcst[10]",79365.31998488,169.398099924041,10384.3980503871,61065.3002506237,72032.6139283035,78592.4116131137,85952.4193462976,101789.197464367,3757.90316226343,1.00121622494185,"hist_comb_fcst[10]",2016
"hist_comb_fcst[11]",95399.4939197542,187.248555292746,12291.7447839776,73245.0140561139,86443.0261904505,94882.898938559,103249.117088661,120959.474598487,4309.1351709474,1.00062643426681,"hist_comb_fcst[11]",2017
"hist_comb_fcst[12]",79386.9348342429,154.35888910706,10298.65860065,61099.3661117051,72154.8106830548,78643.528447788,85813.3348333836,102052.376943534,4451.41448222348,1.00021656287758,"hist_comb_fcst[12]",2018
"hist_comb_fcst[13]",73258.481754493,142.916873646838,9162.48911466109,56620.3278788054,66970.1649837963,72828.9797807979,79249.4195608171,92261.4990956066,4110.17136055917,1.00096622914297,"hist_comb_fcst[13]",2019
"hist_comb_fcst[14]",60409.6751693765,142.365970584624,8059.02952313054,46497.4742684063,54742.264106242,59714.1407166345,65294.0439966287,77921.6705125411,3204.44710319971,1.0002928446565,"hist_comb_fcst[14]",2020
"hist_comb_fcst[15]",47282.1550966026,128.421360697992,6410.71301327664,36425.6447927866,42784.4145555754,46741.6064934903,51174.5346327759,61514.0115174213,2491.9431845416,1.00361948537914,"hist_comb_fcst[15]",2021
