Subsistence Project Year,Section Sort,Section,District,Tributary Sort,Tributary,Community Sort,Community,Harvest,Year Comment,Community Year Comment,Harvest Comment
1992,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,503,,,
1992,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,948,,,
1992,2,Lower Yukon,District 1,5,,3,Nunam Iqua,388,,,
1992,2,Lower Yukon,District 1,5,,4,Alakanuk,623,,,
1992,2,Lower Yukon,District 1,5,,5,Emmonak,2336,,,
1992,2,Lower Yukon,District 1,5,,6,Kotlik,1794,,,
1992,2,Lower Yukon,District 2,5,,10,Pilot Station,1818,,,
1992,2,Lower Yukon,District 2,5,,11,Marshall,1403,,,
1992,2,Lower Yukon,District 2,5,,7,Mountain Village,1249,,,
1992,2,Lower Yukon,District 2,5,,8,Pitkas Point,851,,,
1992,2,Lower Yukon,District 2,5,,9,St. Mary's,1753,,,
1992,2,Lower Yukon,District 3,5,,12,Russian Mission,1282,,,
1992,2,Lower Yukon,District 3,5,,13,Holy Cross,3491,,,
1992,2,Lower Yukon,District 3,5,,14,Shageluk,218,,,
1992,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,389,,,
1992,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,1074,,,
1992,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,1084,,,
1992,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,1596,,,
1992,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,510,,,
1992,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,1870,,,
1992,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,498,,,
1992,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,780,,,
1992,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,490,,,
1992,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,2477,,,
1992,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,4689,,,
1992,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,1564,,,
1992,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,4166,,,
1992,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,1752,,,
1992,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,1040,,,
1992,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,1394,,Includes communities within the Fairbanks North Star Borough.,
1992,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,571,,"Includes Bettles, Chicken, Savoonga, Tok, and Wasilla residents who fished in a Yukon River permit area.",
1992,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,38,,,
1992,3,Upper Yukon,District 6,5,,32,Manley,551,,,
1992,3,Upper Yukon,District 6,5,,33,Minto,142,,,
1992,3,Upper Yukon,District 6,5,,34,Nenana/Healy,1267,,Does not include 2 household(s) that fished more than one permit.,
1992,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,402,,Does not include 3 household(s) that fished more than one permit.,
1992,3,Upper Yukon,District 6,5,,36,District 6 Other,76,,"Includes Coldfoot, Delta Junction, Eagle River, Northway, Tanacross, and Tok residents who fished in a Tanana River permit area.",
1993,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,230,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,1199,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 1,5,,3,Nunam Iqua,561,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 1,5,,4,Alakanuk,2562,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 1,5,,5,Emmonak,4372,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 1,5,,6,Kotlik,2913,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 2,5,,10,Pilot Station,2661,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 2,5,,11,Marshall,2592,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 2,5,,7,Mountain Village,3217,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 2,5,,8,Pitkas Point,1001,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 2,5,,9,St. Mary's,2042,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 3,5,,12,Russian Mission,3273,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 3,5,,13,Holy Cross,3191,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,2,Lower Yukon,District 3,5,,14,Shageluk,128,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,663,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,1045,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,1260,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,1660,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,853,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,1732,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,3263,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,320,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,140,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,3362,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,25,Rampart/Stevens Village,3710,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,26,Beaver,1557,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,27,Fort Yukon/Birch Creek,6361,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,28,Circle/Central,955,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29,Eagle,753,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,29.5,District 5 Fairbanks,1514,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",Includes communities within the Fairbanks North Star Borough.,
1993,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,30,District 5 Other,437,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.","Includes Manley, Minto, Nenana and Tok residents who fished in a District 5 permit area.",
1993,3,Upper Yukon,District 5,4,Chandalar/Black River,31,Venetie/Chalkyitsik,2716,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 6,5,,32,Manley,238,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",Does not include 2 household(s) that fished more than one permit.,
1993,3,Upper Yukon,District 6,5,,33,Minto,468,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 6,5,,34,Nenana/Healy,693,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 6,5,,35,District 6 Fairbanks,273,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.",,
1993,3,Upper Yukon,District 6,5,,36,District 6 Other,0,"Fall chum and coho salmon subsistence were restricted. Does not include 2,789 chinook and 604 summer chum salmon reported as commercial related used for subsistence purposes.","Includes Anchorage, Dot Lake, Northway, Paxson, and Tok residents who fished in District 6.",
1994,1,Yukon Coastal District,Coastal District,5,,1,Hooper Bay,157,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,1,Yukon Coastal District,Coastal District,5,,2,Scammon Bay,668,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 1,5,,3,Nunam Iqua,606,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 1,5,,4,Alakanuk,1045,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 1,5,,5,Emmonak,2384,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 1,5,,6,Kotlik,2505,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 2,5,,10,Pilot Station,1977,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 2,5,,11,Marshall,2277,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 2,5,,7,Mountain Village,1511,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 2,5,,8,Pitkas Point,469,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 2,5,,9,St. Mary's,2722,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 3,5,,12,Russian Mission,1793,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 3,5,,13,Holy Cross,4040,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,2,Lower Yukon,District 3,5,,14,Shageluk,291,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,15,Anvik,424,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,16,Grayling,1843,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,17,Kaltag,1653,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,18,Nulato,1735,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,19,Koyukuk,589,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,20,Galena,1834,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 4,1,District 4 Mainstem Yukon,21,Ruby/Kokrines,1539,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
1994,3,Upper Yukon,District 4,2,Koyukuk,22,Huslia/Hughes,346,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.","Due to floods in 1994, Hughes was not surveyed.","Due to floods in 1994, Hughes was not surveyed. Previous 5-year average of harvest was used."
1994,3,Upper Yukon,District 4,2,Koyukuk,23,Allakaket/Alatna/Bettles,364,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.","Due to floods in 1994, Allakaket and Alatna were not surveyed.","Due to floods in 1994, Allakaket and Alatna were not surveyed. Previous 5-year average of harvest was used."
1994,3,Upper Yukon,District 5,3,District 5 Mainstem Yukon,24,Tanana,2999,"Does not include 1,486 chinook, 22,606 summer chum  2,900 coho salmon reported as commercial related used for subsistence purposes.",,
