"","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat","par","Year"
"hist_comb_fcst[1]",103129.383403058,215.843213937302,19252.3784627943,70168.9902605931,89731.5967196971,101366.591409432,114716.109043349,144487.415626195,7955.94885720578,0.999835259098135,"hist_comb_fcst[1]",2007
"hist_comb_fcst[2]",82220.5645383642,171.852423044297,15352.6741697468,56157.7412710765,71251.4165321292,80764.5506524291,91687.7724642061,115976.414670378,7980.98962402433,1.00023691249416,"hist_comb_fcst[2]",2008
"hist_comb_fcst[3]",74497.4760366873,155.952492807046,13988.1552899911,50260.7658887176,64667.7884292221,73345.593867834,83186.3854748488,105364.335582625,8045.18893879637,0.99973111350797,"hist_comb_fcst[3]",2009
"hist_comb_fcst[4]",71166.3669296738,147.928878539646,13132.2529792146,49074.5720929805,61869.7858415646,69870.7745700232,79225.8216108394,100633.361551948,7880.84073821036,1.00012523757639,"hist_comb_fcst[4]",2010
"hist_comb_fcst[5]",71318.8215363477,148.212522751022,13150.1445600035,48862.1554815964,62082.6933846573,70057.3489785024,79502.6610594523,100245.999203293,7872.1118311931,1.00008336260238,"hist_comb_fcst[5]",2011
"hist_comb_fcst[6]",60251.7599730028,121.824272171443,11076.3385892204,41689.7914138132,52452.7606254046,59048.8636451717,66901.8854913362,85060.1993903897,8266.55948799327,1.00004626139661,"hist_comb_fcst[6]",2012
"hist_comb_fcst[7]",52011.4864741984,124.426291907041,9814.12778803509,35378.2908869606,45164.8148404049,51076.1045478854,57880.7135291274,73955.3061281243,6221.27071385766,0.999859040487895,"hist_comb_fcst[7]",2013
"hist_comb_fcst[8]",55912.2860674131,114.819822567044,10445.6620755136,38649.5586018334,48517.004735822,54855.1784758771,62228.6075930772,79287.2325799317,8276.33766705812,1.00040333739167,"hist_comb_fcst[8]",2014
"hist_comb_fcst[9]",71419.5288236614,161.663610274718,13272.5701930637,48974.2135582202,62029.4902118417,70229.6472853952,79389.101285189,100986.521916205,6740.39759794089,0.999874917002935,"hist_comb_fcst[9]",2015
"hist_comb_fcst[10]",82685.7401398217,169.501895618804,15222.6874198278,56685.2346669307,72057.1939722098,81369.9378750106,91906.833496273,115557.714462642,8065.54169269475,0.999753997739522,"hist_comb_fcst[10]",2016
"hist_comb_fcst[11]",98705.1635169163,209.332487537455,18784.2733588276,67004.0804969454,85526.3745372799,97048.9118770122,110138.769419508,139783.801397271,8052.21812398211,1.00000147666764,"hist_comb_fcst[11]",2017
"hist_comb_fcst[12]",80348.1639712719,168.86210593813,14888.4657133831,55146.3416391794,69687.5335220127,79259.2016521828,89435.399428783,113026.868969493,7773.83803170311,1.00017629559479,"hist_comb_fcst[12]",2018
"hist_comb_fcst[13]",75028.2489361905,151.622187399683,13824.8212628224,51467.4766886547,65269.2473304247,73895.5060511824,83360.9174528383,105734.079915772,8313.68441443051,1.00018462949514,"hist_comb_fcst[13]",2019
"hist_comb_fcst[14]",60855.6544927452,129.431334693759,11436.6785403819,41712.3571251968,52785.9226654031,59780.1436078612,67850.099963012,86132.0022879679,7807.66137221688,0.99966248159215,"hist_comb_fcst[14]",2020
"hist_comb_fcst[15]",42537.341852236,95.5236228443674,8111.92097854392,29298.6132020411,36762.0091933496,41722.8928638646,47262.2025017682,60695.1292794594,7211.50405925004,0.999935538279291,"hist_comb_fcst[15]",2021
"hist_comb_fcst[16]",35631.4795468958,92.8972226792579,7417.63217442902,24065.9974539852,30306.3726431251,34637.5801803674,39783.5318223529,52912.443829456,6375.65967704229,1.00115616279359,"hist_comb_fcst[16]",2022
